Region,Code,Year,Type,Value
Southern Africa,,2020,"Meat, poultry",133.23
Southern Africa,,2020,"Meat, beef",90.25
Southern Africa,,2020,Eggs,25
Southern Africa,,2020,Milk,100
Southern Africa,,2020,Nuts,3.41
Southern Africa,,2020,Fruit,30
Southern Africa,,2020,Vegetables,34
Southern Africa,,2020,Pulses,16
Southern Africa,,2020,Cereals,
Southern Africa,,2020,Other,
Southern Africa,,2020,Barley,0.19
Southern Africa,,2020,Maize,590.09
Southern Africa,,2020,Rice,133.42
Southern Africa,,2020,Wheat,442.87
Southern Africa,,2021,Miscellaneous,5
Southern Africa,,2021,Alcoholic beverages,158
Southern Africa,,2021,Animal fats,13
Southern Africa,,2021,Vegetable oils,414
Southern Africa,,2021,Oilcrops,23
Southern Africa,,2021,Fish and seafood,12
Southern Africa,,2021,Sugar crops,0
Southern Africa,,2021,Sugar & sweeteners,301
Southern Africa,,2021,Starchy roots,81
Southern Africa,,2021,"Meat, other",5.38
Southern Africa,,2021,"Meat, sheep and goat",18.58
Southern Africa,,2021,"Meat, pig",34.85
Southern Africa,,2021,"Meat, poultry",150.26
Southern Africa,,2021,"Meat, beef",90.92
Southern Africa,,2021,Eggs,23
Southern Africa,,2021,Milk,104
Southern Africa,,2021,Nuts,4.27
Southern Africa,,2021,Fruit,38
Southern Africa,,2021,Vegetables,33
Southern Africa,,2021,Pulses,18
Southern Africa,,2021,Cereals,
Southern Africa,,2021,Other,
Southern Africa,,2021,Barley,0.16
Southern Africa,,2021,Maize,564.15
Southern Africa,,2021,Rice,129.86
Southern Africa,,2021,Wheat,434.77
Southern Asia,,2020,Miscellaneous,0
Southern Asia,,2020,Alcoholic beverages,12
Southern Asia,,2020,Animal fats,79
Southern Asia,,2020,Vegetable oils,224
Southern Asia,,2020,Oilcrops,51
Southern Asia,,2020,Fish and seafood,18
Southern Asia,,2020,Sugar crops,11
Southern Asia,,2020,Sugar & sweeteners,200
Southern Asia,,2020,Starchy roots,57
Southern Asia,,2020,"Meat, other",0.05
Southern Asia,,2020,"Meat, sheep and goat",4.51
Southern Asia,,2020,"Meat, pig",1.17
Southern Asia,,2020,"Meat, poultry",17.55
Southern Asia,,2020,"Meat, beef",10.54
Southern Asia,,2020,Eggs,15
Southern Asia,,2020,Milk,190
Southern Asia,,2020,Nuts,8.39
Southern Asia,,2020,Fruit,83
Southern Asia,,2020,Vegetables,65
Southern Asia,,2020,Pulses,111
Southern Asia,,2020,Cereals,
Southern Asia,,2020,Other,
Southern Asia,,2020,Barley,4.48
Southern Asia,,2020,Maize,51.45
Southern Asia,,2020,Rice,675.24
Southern Asia,,2020,Wheat,583.22
Southern Asia,,2021,Miscellaneous,0
Southern Asia,,2021,Alcoholic beverages,12
Southern Asia,,2021,Animal fats,77
Southern Asia,,2021,Vegetable oils,229
Southern Asia,,2021,Oilcrops,49
